account_internal_id,hashedAccNo,account_type,bank_name,home_city,home_state,account_balance
ACCT_00000001,d8a6224db9bfc7ba,Victim,ICICI Bank,Delhi,Delhi,5260.63
ACCT_00000002,6b41ab53d22d35c4,Normal,State Bank of India,Delhi,Delhi,1544.53
ACCT_00000003,f04ca89fc98799c5,Normal,ICICI Bank,Bardhaman,West Bengal,11626.62
ACCT_00000004,e7efa96fd4c8cba6,Mule_L3,Kotak Mahindra Bank,Jaipur,Rajasthan,10775.44
ACCT_00000005,6f052b1f297bfa92,Normal,Bank of Baroda,Kolkata,West Bengal,6758.15
ACCT_00000006,6a5f0a14c190fb3c,Normal,Bank of Baroda,Dhanbad,Jharkhand,3339.6
ACCT_00000007,43a049cd0552eede,Normal,State Bank of India,Nalanda,Bihar,20936.6
ACCT_00000008,c9fa512692b861c8,Normal,State Bank of India,Punahana,Haryana,72176.81
ACCT_00000009,0557d3035a2d1ccd,Victim,State Bank of India,Bardhaman,West Bengal,7285.11
ACCT_00000010,ffdc89a8c9a3d2de,Normal,Punjab National Bank,Deoghar,Jharkhand,12838.14
ACCT_00000011,c2345f6c163fbf38,Normal,State Bank of India,Bardhaman,West Bengal,7870.87
ACCT_00000012,b1a861db9baf09de,Normal,Punjab National Bank,Bharatpur,Rajasthan,46414.65
ACCT_00000013,bad138fb92f7ea97,Normal,HDFC Bank,Delhi,Delhi,30055.95
ACCT_00000014,beaa6aafc5f05201,Normal,State Bank of India,Delhi,Delhi,3401.65
ACCT_00000015,8e7dd44d77331333,Normal,State Bank of India,Delhi,Delhi,122190.29
ACCT_00000016,008e1ac8626f49db,Normal,State Bank of India,Patna,Bihar,6615.76
ACCT_00000017,64b403bb2eb354e3,Normal,State Bank of India,Alwar,Rajasthan,68890.78
ACCT_00000018,5951a096389c148a,Normal,ICICI Bank,Bardhaman,West Bengal,58992.11
ACCT_00000019,5d1d16e207eca74b,Normal,State Bank of India,Alwar,Rajasthan,948.48
ACCT_00000020,61b03e0158829888,Normal,Canara Bank,Delhi,Delhi,2076.66
ACCT_00000021,fe6218018ffefa55,Normal,Punjab National Bank,Dumka,Jharkhand,7226.11
ACCT_00000022,2cafd9d1a489f81d,Normal,HDFC Bank,Patna,Bihar,8562.83
ACCT_00000023,2868b1b136132c40,Normal,HDFC Bank,Patna,Bihar,3994.11
ACCT_00000024,88536fdc592b3e82,Normal,State Bank of India,Gurgaon/Gurugram,Haryana,28773.31
ACCT_00000025,9973d10ec13f54ee,Normal,State Bank of India,Bharatpur,Rajasthan,21106.46
ACCT_00000026,888cbc4f0586baf3,Normal,State Bank of India,Agra,Uttar Pradesh,6534.17
ACCT_00000027,5adfdb86c4d4cab1,Normal,Bank of Baroda,Kolkata,West Bengal,867.36
ACCT_00000028,1a0290f56589c49b,Normal,Union Bank of India,Patna,Bihar,19641.47
ACCT_00000029,59283be64aa7c4f1,Normal,Axis Bank,Kolkata,West Bengal,30928.83
ACCT_00000030,d35611dffa8ba672,Normal,ICICI Bank,Agra,Uttar Pradesh,8539.11
ACCT_00000031,e836250d76a28626,Normal,State Bank of India,Delhi,Delhi,35624.71
ACCT_00000032,5ebd08f8b79fbcc4,Normal,Punjab National Bank,Gurgaon/Gurugram,Haryana,3023.72
ACCT_00000033,304fb207e275a6ad,Normal,HDFC Bank,Dumka,Jharkhand,9205.06
ACCT_00000034,61fd43c606a9f479,Normal,Bank of Baroda,Kaman,Rajasthan,17008.5
ACCT_00000035,d98f3d6a45a75cb8,Normal,ICICI Bank,Faridabad,Haryana,42682.75
ACCT_00000036,24164c23f13b8193,Normal,Punjab National Bank,Delhi,Delhi,35967.56
ACCT_00000037,f14b03c332b7a8e0,Normal,HDFC Bank,Delhi,Delhi,42444.94
ACCT_00000038,1fc0b60e42820210,Normal,Punjab National Bank,Bharatpur,Rajasthan,10351.2
ACCT_00000039,d0940531cce5a53e,Normal,Punjab National Bank,Patna,Bihar,102469.19
ACCT_00000040,33e265efcf30ec1b,Normal,HDFC Bank,Delhi,Delhi,4912.36
ACCT_00000041,ff19813d0442931b,Normal,State Bank of India,Alwar,Rajasthan,20759.39
ACCT_00000042,b27b4ebc69237e9d,Normal,HDFC Bank,Delhi,Delhi,4504.95
ACCT_00000043,71a5a9c449e08be0,Normal,State Bank of India,Kolkata,West Bengal,7617.29
ACCT_00000044,d92a5f38567f0a8a,Normal,Bank of Baroda,Bharatpur,Rajasthan,158045.08
ACCT_00000045,f2b6d135201d36fa,Normal,HDFC Bank,Dumka,Jharkhand,46366.26
ACCT_00000046,9effde83af4f84cf,Normal,Punjab National Bank,Patna,Bihar,21488.89
ACCT_00000047,b4108e1d360ede4a,Normal,Axis Bank,Kolkata,West Bengal,11216.96
ACCT_00000048,1dd6126d977d137a,Normal,HDFC Bank,Delhi,Delhi,19468.84
ACCT_00000049,6734a51bb07c03a0,Normal,State Bank of India,Howrah,West Bengal,37388.86
ACCT_00000050,007206e424e8c740,Mule_L1,State Bank of India,Kolkata,West Bengal,2376.92
ACCT_00000051,6501a8c6c25a56a7,Normal,State Bank of India,Kolkata,West Bengal,24231.56
ACCT_00000052,dc94035aab8a1acd,Normal,ICICI Bank,Dumka,Jharkhand,16655.86
ACCT_00000053,a0d04706dd476867,Normal,Axis Bank,Deoghar,Jharkhand,112267.73
ACCT_00000054,86350a7d5955a2eb,Normal,Axis Bank,Dhanbad,Jharkhand,7702.41
ACCT_00000055,21b04eda5b593b46,Victim,ICICI Bank,Faridabad,Haryana,4487.62
ACCT_00000056,2997f0d17d350e92,Normal,HDFC Bank,Kaman,Rajasthan,6029.06
ACCT_00000057,c3624c139ae40e5b,Normal,State Bank of India,Jaipur,Rajasthan,5131.77
ACCT_00000058,ff8f27e7e9bd2a5b,Normal,HDFC Bank,Agra,Uttar Pradesh,17171.63
ACCT_00000059,576f440791f4b262,Normal,Punjab National Bank,Alwar,Rajasthan,13669.7
ACCT_00000060,552347f1483f03fc,Normal,ICICI Bank,Delhi,Delhi,17106.39
ACCT_00000061,e23fd17dd0123d4f,Normal,Axis Bank,Bharatpur,Rajasthan,29305.8
